中华人民共和国,7
威克岛(美),6
斯洛文尼亚,5
毛里塔尼亚,5
蒙特塞拉特,5
沙地阿拉伯,5
沙特阿拉伯,5
圣多美和普,5
圣克里斯托,5
圣文森特岛,5
所罗门群岛,5
马达加斯加,5
塔吉克斯坦,5
特克斯和凯,5
特立尼达和,5
土库曼斯坦,5
乌兹别克斯,5
新喀里多尼,5
印度尼西亚,5
马里亚纳群,5
维尔京群岛,5
列支敦士登,5
赤道几内亚,5
加那利群岛,5
阿尔及利亚,5
阿拉伯联合,5
安提瓜和巴,5
巴布亚新几,5
百慕大群岛,5
布基纳法索,5
埃塞俄比亚,5
多米尼加联,5
法属圭亚那,5
福克兰群岛,5
哥斯达黎加,5
哈萨克斯坦,5
荷属安得列,5
法属波里尼,5
吉尔吉斯斯,5
纳米比亚,4
塞拉利昂,4
萨尔瓦多,4
诺福克岛,4
尼日利亚,4
尼加拉瓜,4
南斯拉夫,4
孟加拉国,4
莫桑比克,4
摩尔多瓦,4
毛里求斯,4
马提尼克,4
塞浦路斯,4
马来西亚,4
塞内加尔,4
委内瑞拉,4
圣卢西亚,4
圣马力诺,4
斯里兰卡,4
斯洛伐克,4
斯威士兰,4
坦桑尼亚,4
瓦努阿图,4
危地马拉,4
西萨摩亚,4
亚美尼亚,4
直布罗陀,4
中德合资,4
中外合资,4
罗马尼亚,4
马尔代夫,4
中韩合作,4
留尼旺岛,4
多米尼加,4
利比里亚,4
澳大利亚,4
阿鲁巴岛,4
阿塞拜疆,4
爱沙尼亚,4
安圭拉岛,4
巴巴多斯,4
巴哈马国,4
白俄罗斯,4
保加利亚,4
波多黎各,4
玻利维亚,4
博茨瓦纳,4
东萨摩亚,4
巴基斯坦,4
厄瓜多尔,4
基里巴斯,4
克罗地亚,4
法罗群岛,4
拉脱维亚,4
科特迪瓦,4
科克群岛,4
津巴布韦,4
开曼群岛,4
洪都拉斯,4
格鲁吉亚,4
格陵兰岛,4
格林纳达,4
哥伦比亚,4
尼日尔,3
索马里,3
苏格兰,3
塞舌尔,3
葡萄牙,3
纽埃岛,3
马耳他,3
尼泊尔,3
墨西哥,3
摩纳哥,3
摩洛哥,3
马拉维,3
卢旺达,3
图瓦卢,3
突尼斯,3
扎伊尔,3
土耳其,3
威尔士,3
乌干达,3
乌拉圭,3
西班牙,3
新加坡,3
新西兰,3
叙利亚,3
牙买加,3
伊拉克,3
以色列,3
英格兰,3
赞比亚,3
利比亚,3
中途岛,3
卢森堡,3
苏里南,3
立陶宛,3
阿富汗,3
巴拉圭,3
安哥拉,3
爱尔兰,3
阿森松,3
阿拉伯,3
阿根廷,3
意大利,3
伯利兹,3
匈牙利,3
乌克兰,3
俄罗斯,3
比利时,3
奥地利,3
黎巴嫩,3
巴拿马,3
安道尔,3
布隆迪,3
加拿大,3
梵蒂冈,3
肯尼亚,3
科威特,3
科摩罗,3
卡塔尔,3
喀麦隆,3
莱索托,3
几内亚,3
圭亚那,3
冈比亚,3
佛得角,3
吉布提,3
菲律宾,3
秘鲁,2
台湾,2
挪威,2
瑙鲁,2
南非,2
缅甸,2
老挝,2
马里,2
捷克,2
加蓬,2
加纳,2
泰国,2
荷兰,2
印度,2
汤加,2
文莱,2
希□,2
也门,2
伊朗,2
关岛,2
约旦,2
越南,2
乍得,2
智利,2
中非,2
中华,2
国营,2
海地,2
大韩,2
古巴,2
刚果,2
巴林,2
波兰,2
德国,2
法国,2
韩国,2
美国,2
蒙古,2
日本,2
瑞典,2
瑞士,2
苏丹,2
香港,2
英国,2
阿曼,2
埃及,2
澳门,2
巴西,2
贝宁,2
冰岛,2
不丹,2
朝鲜,2
丹麦,2
多哥,2
斐济,2
芬兰,2
中国,2
