Name,count
企业(集团)有限公司,10
数字程控通信系统,8
集团股份有限公司,8
实业有限责任公司,8
成套设备有限公司,8
总厂有限公司,6
发展有限公司,6
股份有限公司,6
集团股份公司,6
集团有限公司,6
实业有限公司,6
有限责任公司,6
责任有限公司,6
中压配电设备,6
氧化锌避雷器,6
箱式变电设备,6
水利水电工程,6
空调制冷设备,6
高压电器开关,6
干式变压器,5
输配电设备,5
配电变压器,5
冷热缩材料,5
自动化设备,5
复合绝缘子,5
厂有限公司,5
合成绝缘子,5
复合材料,4
超导电缆,4
保护控制,4
成套设备,4
电控设备,4
电缆附件,4
电力工具,4
资产管理,4
电气化局,4
股份公司,4
集团公司,4
有限公司,4
株式会社,4
智能仪器,4
电力设备,4
产品配套,4
电气装置,4
设备制造,4
继电保护,4
科技发展,4
电器设备,4
起重设备,4
热缩材料,4
柔性输电,4
水电设备,4
光纤光缆,4
通信电源,4
通信设备,4
线路器材,4
消防供水,4
信息产品,4
有色金属,4
机电设备,4
劳保用品,4
工控系统,4
钢管结构,4
电源设备,4
电子材料,4
隔离开关,4
电子设备,4
电子围栏,4
电子电器,4
高压电器,4
研究院,3
无线电,3
散热器,3
玻璃钢,3
设计院,3
总公司,3
电业局,3
研究所,3
超高压,3
经营部,3
经销部,3
不间断,3
标准件,3
电气化,3
电磁线,3
变压器,3
避雷器,3
点连接,3
铜铝排,3
空调器,3
滤油机,3
熔断器,3
砂轮机,3
输变电,3
输配电,3
水泥杆,3
水泥品,3
送变电,3
微电子,3
继电器,3
温度表,3
电抗器,3
新能源,3
蓄电池,3
压缩机,3
有线电,3
元器件,3
制造业,3
自动化,3
绝缘子,3
新材料,3
计算机,3
钢绞线,3
互感器,3
电缆管,3
电容器,3
断路器,3
高科技,3
高低压,3
钢结构,3
电线,2
电缆,2
电机,2
电工,2
电杆,2
电动,2
电磁,2
电瓷,2
电池,2
电材,2
电表,2
第一,2
第二,2
低压,2
导线,2
大厂,2
传动,2
成套,2
车辆,2
产业,2
电控,2
电炉,2
电力,2
电信,2
电讯,2
电业,2
电源,2
电站,2
电子,2
阀门,2
防护,2
防误,2
防灾,2
电网,2
防震,2
电容,2
产品,2
电器,2
电气,2
电脑,2
电路,2
电能,2
分厂,2
材料,2
公司,2
用品,2
电梯,2
检修,2
创新,2
勘测,2
节能,2
服务,2
分院,2
集团,2
标牌,2
学院,2
总厂,2
二厂,2
六厂,2
三厂,2
五厂,2
一厂,2
大学,2
维修,2
合作,2
变电,2
钢管,2
保护,2
安装,2
安全,2
加工,2
集成,2
钢丝,2
铜铝,2
压制,2
管道,2
设施,2
涵管,2
发展,2
封闭,2
显示,2
装修,2
管塔,2
铸造,2
科贸,2
风险,2
控制,2
辅件,2
特种,2
系统,2
物资,2
五金,2
维护,2
网络,2
投资,2
铜业,2
铜材,2
通讯,2
通信,2
铁塔,2
铁路,2
特钢,2
负荷,2
特变,2
套管,2
陶瓷,2
塑材,2
水泥,2
数字,2
试验,2
实业,2
设备,2
软件,2
容器,2
桥架,2
线材,2
线缆,2
线路,2
销售,2
组装,2
组件,2
自控,2
自动,2
装置,2
装备,2
中压,2
中心,2
智能,2
制作,2
制造,2
制品,2
制冷,2
制杆,2
纸业,2
真空,2
元件,2
油田,2
用电,2
仪器,2
仪表,2
修造,2
修试,2
信息,2
新型,2
器具,2
器材,2
气体,2
机械,2
机电,2
环保,2
衡器,2
航天,2
海缆,2
光纤,2
光缆,2
光电,2
管业,2
股份,2
构件,2
供电,2
工业,2
工贸,2
工控,2
工具,2
工程,2
隔离,2
高压,2
高新,2
钢线,2
钢铁,2
钢缆,2
杆塔,2
附件,2
机箱,2
计量,2
企业,2
技改,2
配套,2
配件,2
配电,2
能源,2
母线,2
模具,2
铝业,2
铝线,2
铝材,2
矿用,2
宽带,2
控股,2
科学,2
科教,2
科技,2
开关,2
开发,2
绝缘,2
精密,2
金属,2
金具,2
结构,2
建设,2
建材,2
技术,2
厂,1
